LISZT_FERENC_STATION__MEMORY;LISZT_FERENC_STATION__LOAD_OF_RESOURCE;LISZT_FERENC_STATION__TOTAL_PROCESSING_POWER;KALOCSA_FOKTO_STATION__MEMORY;KALOCSA_FOKTO_STATION__LOAD_OF_RESOURCE;KALOCSA_FOKTO_STATION__TOTAL_PROCESSING_POWER;DEBRECEN_INTERNATIONAL_AIRPORT__MEMORY;DEBRECEN_INTERNATIONAL_AIRPORT__LOAD_OF_RESOURCE;DEBRECEN_INTERNATIONAL_AIRPORT__TOTAL_PROCESSING_POWER;KECSKEMET_AIRPORT__MEMORY;KECSKEMET_AIRPORT__LOAD_OF_RESOURCE;KECSKEMET_AIRPORT__TOTAL_PROCESSING_POWER;BUDAPEST_MAIN__MEMORY;BUDAPEST_MAIN__LOAD_OF_RESOURCE;BUDAPEST_MAIN__TOTAL_PROCESSING_POWER;
38654705664,00000000;36,00000000;0,00009000;51539607552,00000000;48,00000000;0,00012000;51539607552,00000000;48,00000000;0,00012000;51539607552,00000000;48,00000000;0,00012000;8589934592,00000000;16,00000000;0,00002000;
38654705664,00000000;36,00000000;0,00009000;51539607552,00000000;48,00000000;0,00012000;55834574848,00000000;52,00000000;0,00013000;51539607552,00000000;48,00000000;0,00012000;8589934592,00000000;16,00000000;0,00002000;
38654705664,00000000;36,00000000;0,00009000;51539607552,00000000;48,00000000;0,00012000;55834574848,00000000;52,00000000;0,00013000;55834574848,00000000;52,00000000;0,00013000;8589934592,00000000;16,00000000;0,00002000;
38654705664,00000000;36,00000000;0,00009000;55834574848,00000000;52,00000000;0,00013000;55834574848,00000000;52,00000000;0,00013000;55834574848,00000000;52,00000000;0,00013000;8589934592,00000000;16,00000000;0,00002000;
38654705664,00000000;36,00000000;0,00009000;55834574848,00000000;52,00000000;0,00013000;60129542144,00000000;56,00000000;0,00014000;55834574848,00000000;52,00000000;0,00013000;8589934592,00000000;16,00000000;0,00002000;
38654705664,00000000;36,00000000;0,00009000;55834574848,00000000;52,00000000;0,00013000;60129542144,00000000;56,00000000;0,00014000;60129542144,00000000;56,00000000;0,00014000;8589934592,00000000;16,00000000;0,00002000;
38654705664,00000000;36,00000000;0,00009000;60129542144,00000000;56,00000000;0,00014000;60129542144,00000000;56,00000000;0,00014000;60129542144,00000000;56,00000000;0,00014000;8589934592,00000000;16,00000000;0,00002000;
38654705664,00000000;36,00000000;0,00009000;60129542144,00000000;56,00000000;0,00014000;64424509440,00000000;60,00000000;0,00015000;60129542144,00000000;56,00000000;0,00014000;8589934592,00000000;16,00000000;0,00002000;
42949672960,00000000;40,00000000;0,00010000;60129542144,00000000;56,00000000;0,00014000;64424509440,00000000;60,00000000;0,00015000;60129542144,00000000;56,00000000;0,00014000;8589934592,00000000;16,00000000;0,00002000;
42949672960,00000000;40,00000000;0,00010000;60129542144,00000000;56,00000000;0,00014000;64424509440,00000000;60,00000000;0,00015000;64424509440,00000000;60,00000000;0,00015000;8589934592,00000000;16,00000000;0,00002000;
42949672960,00000000;40,00000000;0,00010000;64424509440,00000000;60,00000000;0,00015000;64424509440,00000000;60,00000000;0,00015000;64424509440,00000000;60,00000000;0,00015000;8589934592,00000000;16,00000000;0,00002000;
42949672960,00000000;40,00000000;0,00010000;64424509440,00000000;60,00000000;0,00015000;68719476736,00000000;64,00000000;0,00016000;64424509440,00000000;60,00000000;0,00015000;8589934592,00000000;16,00000000;0,00002000;
47244640256,00000000;44,00000000;0,00011000;64424509440,00000000;60,00000000;0,00015000;68719476736,00000000;64,00000000;0,00016000;64424509440,00000000;60,00000000;0,00015000;8589934592,00000000;16,00000000;0,00002000;
47244640256,00000000;44,00000000;0,00011000;64424509440,00000000;60,00000000;0,00015000;68719476736,00000000;64,00000000;0,00016000;68719476736,00000000;64,00000000;0,00016000;8589934592,00000000;16,00000000;0,00002000;
47244640256,00000000;44,00000000;0,00011000;68719476736,00000000;64,00000000;0,00016000;68719476736,00000000;64,00000000;0,00016000;68719476736,00000000;64,00000000;0,00016000;8589934592,00000000;16,00000000;0,00002000;
47244640256,00000000;44,00000000;0,00011000;68719476736,00000000;64,00000000;0,00016000;73014444032,00000000;68,00000000;0,00017000;68719476736,00000000;64,00000000;0,00016000;8589934592,00000000;16,00000000;0,00002000;
51539607552,00000000;48,00000000;0,00012000;68719476736,00000000;64,00000000;0,00016000;73014444032,00000000;68,00000000;0,00017000;68719476736,00000000;64,00000000;0,00016000;8589934592,00000000;16,00000000;0,00002000;
51539607552,00000000;48,00000000;0,00012000;68719476736,00000000;64,00000000;0,00016000;73014444032,00000000;68,00000000;0,00017000;73014444032,00000000;68,00000000;0,00017000;8589934592,00000000;16,00000000;0,00002000;
51539607552,00000000;48,00000000;0,00012000;73014444032,00000000;68,00000000;0,00017000;73014444032,00000000;68,00000000;0,00017000;73014444032,00000000;68,00000000;0,00017000;8589934592,00000000;16,00000000;0,00002000;
51539607552,00000000;48,00000000;0,00012000;73014444032,00000000;68,00000000;0,00017000;77309411328,00000000;72,00000000;0,00018000;73014444032,00000000;68,00000000;0,00017000;8589934592,00000000;16,00000000;0,00002000;
55834574848,00000000;52,00000000;0,00013000;73014444032,00000000;68,00000000;0,00017000;77309411328,00000000;72,00000000;0,00018000;73014444032,00000000;68,00000000;0,00017000;8589934592,00000000;16,00000000;0,00002000;
55834574848,00000000;52,00000000;0,00013000;73014444032,00000000;68,00000000;0,00017000;77309411328,00000000;72,00000000;0,00018000;77309411328,00000000;72,00000000;0,00018000;8589934592,00000000;16,00000000;0,00002000;
55834574848,00000000;52,00000000;0,00013000;77309411328,00000000;72,00000000;0,00018000;77309411328,00000000;72,00000000;0,00018000;77309411328,00000000;72,00000000;0,00018000;8589934592,00000000;16,00000000;0,00002000;
55834574848,00000000;52,00000000;0,00013000;77309411328,00000000;72,00000000;0,00018000;81604378624,00000000;76,00000000;0,00019000;77309411328,00000000;72,00000000;0,00018000;8589934592,00000000;16,00000000;0,00002000;
60129542144,00000000;56,00000000;0,00014000;77309411328,00000000;72,00000000;0,00018000;81604378624,00000000;76,00000000;0,00019000;77309411328,00000000;72,00000000;0,00018000;8589934592,00000000;16,00000000;0,00002000;
60129542144,00000000;56,00000000;0,00014000;77309411328,00000000;72,00000000;0,00018000;81604378624,00000000;76,00000000;0,00019000;81604378624,00000000;76,00000000;0,00019000;8589934592,00000000;16,00000000;0,00002000;
60129542144,00000000;56,00000000;0,00014000;81604378624,00000000;76,00000000;0,00019000;81604378624,00000000;76,00000000;0,00019000;81604378624,00000000;76,00000000;0,00019000;8589934592,00000000;16,00000000;0,00002000;
